N,PF_1,invPF,PF_2,invPf_2
bussec4_1.1,2.114960120862808,0.4728221540139703,1.0768666759273176,0.9286200625893398
bussec4_2.1,2.0784469100589935,0.4811284787503264,1.0634915305930364,0.9402989786316103
bussec4_3.1,2.078446910182915,0.4811284787216405,1.0406760082639563,0.9609138598940015
bussec4_4.1,2.0260264386476248,0.4935769745766503,1.0411243353321475,0.9605000729148957
bussec4_5.1,2.114960122665791,0.47282215361089414,1.0543563214627054,0.9484459661727099
bustrafo5lv.3,2.0601498882686355,0.4854015747564887,1.0184818900173291,0.9818534917523033
bussec5_0.3,2.1320382384682204,0.4690347396013206,1.0634629381315288,0.9403242596840928
bussec5_1.3,2.0642222711288887,0.48444395450356065,1.0307871541894675,0.9701323846884023
bussec5_2.3,2.0862855514377574,0.47932077145952195,1.044638389961511,0.9572690508117783
bussec5_3.3,2.1700917541851124,0.4608100086420117,1.0702667638845602,0.9343464954199594
bussec5_4.3,2.224775313680515,0.44948359227596285,1.0960474939233258,0.9123692226332988
bustrafo6lv.3,2.0258237004322317,0.4936263702446758,1.0034185721228972,0.9965930746969686
bussec6_01.3,2.2399986746975813,0.4464288355594712,1.0982317548250935,0.9105546216511122
bussec6_02.3,2.234823273266742,0.4474626749963342,1.085631959734423,0.9211224771280949
bussec6_1.3,2.1320561109369587,0.46903080780577466,1.0547590384305112,0.9480838405404963
bussec6_2.3,2.0817827479209394,0.48035752097508366,1.0238715191135486,0.9766850442971438
bussec6_3.3,2.1180531313541624,0.47213168791505106,1.0408653070320337,0.9607391016340445
bussec6_4.3,2.034019726141337,0.4916373165648018,1.0182913838035794,0.9820371810127113
bustrafo7lv.1,2.026029945774722,0.49357612017803404,1.012832934483221,0.9873296631198424
bussec7_01.1,2.0091544105026093,0.49772182504869816,1.0099369913683636,0.9901607808672303
bussec7_02.1,2.060607136362322,0.48529386429542454,1.04696291759175,0.9551436666928229
bussec7_1.1,2.09647146613349,0.4769919439181752,1.0479623247658867,0.9542327776176482
bussec7_2.1,2.060639976359765,0.48528613026646,1.042402190296288,0.9593226197229731
bussec7_3.1,2.0964963099458664,0.47698629148830746,1.0520185904474766,0.9505535444717279
bussec7_4.1,2.078399453389244,0.4811394644899954,1.0502963982447786,0.9521121863039497
bustrafo8lv.2,2.0154441716373066,0.49616854392330795,1.0154502701156616,0.9847848086997881
bussec8_01.2,2.0154303755767504,0.4961719403052227,1.003936916473799,0.9960785220573152
bussec8_02.2,1.9986583951129617,0.5003356263607425,1.0155010642698112,0.9847355509361705
bussec8_1.2,2.0549119088534473,0.48663886548691865,1.0386886890759368,0.9627523727919325
bussec8_2.2,2.0624806891211023,0.4848530244548065,1.061156315705094,0.9423682309571345
bussec8_3.2,2.0422006357661697,0.489667852651917,1.0277818904668914,0.9729690796028028
bussec8_4.2,2.030039339256387,0.49260129134556807,1.0456636608708099,0.9563304506223521
bustrafo9lv.3,2.030074773124181,0.4925926932538801,1.0147371833329188,0.9854768470348999
bussec9_0.3,2.0470498378237907,0.4885078914654542,1.0246028213459601,0.9759879430024984
bussec9_1.3,2.1229801188580963,0.47103597019923,1.044031827080325,0.9578252061496423
bussec9_2.3,2.068694642971813,0.48339662085818313,1.035142639864661,0.9660504373877828
bustrafo10lv.2,1.9844533776677642,0.5039171044548567,0.9992444599184982,1.0007561113539358
bussec10_0.2,2.106373113504116,0.4747496982319633,1.0552133581410816,0.9476756451999923
bussec10_1.2,2.070159936313155,0.4830544647583834,1.0562131805625499,0.9467785655424125
bussec10_2.2,2.106357714934146,0.4747531688990748,1.0727296370286503,0.9322013352496684
bustrafo11lv.2,2.047345765568115,0.48843728148797155,1.043396356350319,0.9584085605760456
bussec11_1.2,1.9449989787838624,0.5141390874278319,0.9973624899462804,1.0026444849092546
bussec11_2.2,1.7971117161662054,0.5564484338977596,0.9256813928249915,1.0802852987551184
xfmrlv.1,2.026074186399789,0.49356534262792195,1.0014396661772431,0.9985624034818406
buslv1.1,2.078386647317338,0.4811424290522375,1.0245410172259046,0.976046818220755
buslv2.1,2.172067118544467,0.4603909296643256,1.0817825602878162,0.9244001860539726
buslv3.1,2.043204908153973,0.48942717199299196,1.015539433484989,0.9846983455564469
buslv4.1,2.078448731806756,0.48112805704412015,1.042619757171499,0.9591224347339041
buslv5.1,2.043151619197486,0.4894399371069595,1.0409100100214963,0.9606978416696642
busload1.1,2.060642028611482,0.4852856469562682,1.0516406710949902,0.9508951369851255
busload2.1,2.078482261507585,0.4811202955731122,1.056267142023968,0.946730197517882
busload3.1,2.096524062470733,0.47697997743059994,1.0401701811548454,0.9613811452369779
busload4.1,2.0964795502336973,0.47699010462016134,1.0528721361587683,0.9497829467197568
busload5.1,1.976204132564145,0.5060205995533922,1.027132366740378,0.9735843523006844
busload6.1,2.1526582050821927,0.46454193129179,1.0801627997115695,0.9257863724496206
busload7.1,2.0964425945573404,0.47699851290759904,1.0404249326497068,0.9611457478755777
busload8.1,2.043188987199924,0.48943098571143145,1.0281771693493953,0.9725950252647362
