postID,model,condition,make year,cylinder NO,drive,fuel,color,status,transmission,vehicle type,latitude,longitude,price
7796993924,Mitsubishi Lancer,N/A,2013,4,4wd,gas,white,clean,automatic,sedan,47.46959,-122.22797,$396 
7796993914,GMC Terrain Denali Sport Utilit,N/A,2019,N/A,fwd,gas,black,clean,automatic,SUV,41.9076,-88.15376,"$22,995 "
7796993910,Ford Escape SE,excellent,2022,3,N/A,gas,N/A,N/A,automatic,SUV,29.876358,-95.413441,$0 
7796993878,Cadillac Cts 3.6 LUXURY,N/A,2017,N/A,rwd,gas,black,clean,automatic,sedan,45.49853,-122.76476,"$21,950 "
7796993870,Jeep Renegade,excellent,2017,other,N/A,gas,N/A,N/A,manual,SUV,32.73974,-97.111502,$0 
7796993834,Audi TTS 2.0T Quattro All-Wheel,N/A,2017,4,4wd,gas,black,clean,automatic,coupe,44.80034,-91.53061,"$24,950 "
7796993823,toyota tundra 4wd truck,good,2010,8,4wd,gas,red,clean,automatic,pickup,47.0563,-109.4203,"$14,500 "
7796993750,Nissan quest sl,good,2010,6,fwd,gas,green,clean,automatic,minivan,35.13093,-106.586482,"$2,000 "
7796993752,Volkswagen Passat 2.0T SE Luxur,N/A,2018,4,fwd,gas,black,clean,automatic,sedan,44.80034,-91.53061,"$16,950 "
7796993708,Dodge Durango SXT,N/A,2019,6,rwd,gas,black,clean,automatic,SUV,40.590459,-124.146658,"$22,995 "
7796993706,Jeep Grand Cherokee Limited,N/A,2016,6,4wd,gas,black,clean,automatic,SUV,45.510365,-122.577942,"$12,995 "
7796993670,Toyota Matrx,N/A,2009,N/A,N/A,gas,N/A,clean,manual,N/A,47.685362,-122.314942,"$3,199 "
7796993660,Ford Mustang Shelby GT500 Coupe,excellent,2021,8,rwd,gas,red,clean,automatic,coupe,32.8905,-111.754,"$102,500 "
7796993655,Chevy Sonic,excellent,2019,4,N/A,gas,N/A,clean,automatic,N/A,34.0447,-118.2508,"$7,000 "
7796993594,Chevy Trax,good,2015,4,4wd,gas,white,clean,automatic,SUV,39.5918,-105.0832,"$6,500 "
7796993604,JEEP GRAND CHEROKEE,N/A,2015,N/A,4wd,gas,white,clean,automatic,SUV,37.323693,-121.919379,"$16,995 "
7796993570,dodge ram 2500,excellent,2004,6,rwd,diesel,red,clean,manual,pickup,41.602909,-87.768466,"$16,600 "
7796993545,HONDA HR-V,N/A,2019,N/A,fwd,gas,black,clean,automatic,SUV,29.871852,-95.356583,"$16,791 "
7796993531,toyota highlander limited hybrid,excellent,2006,6,4wd,hybrid,blue,clean,automatic,SUV,45.4762,-122.5596,"$6,995 "
7796993526,kia Seltos s,excellent,2021,4,4wd,gas,silver,clean,automatic,SUV,35.0949,-106.611,"$1,500 "
7796993518,Hyundai Elantra 4-Door,N/A,2007,N/A,N/A,gas,N/A,clean,manual,N/A,47.693795,-122.306757,"$1,995 "
7796993391,CJ5,fair,1977,8,4wd,gas,custom,clean,manual,offroad,33.3291,-111.9943,"$6,000 "
7796993356,GMC Sierra 1500,excellent,2018,6,rwd,gas,white,clean,automatic,truck,33.57027,-112.069731,"$17,000 "
7796993336,Ford Explorer XLT,N/A,2017,6,4wd,gas,black,clean,automatic,SUV,45.51805,-122.579581,$0 
7796993326,bmw 328i,good,2008,6,rwd,gas,silver,clean,automatic,coupe,38.8036,-122.5407,"$10,500 "
7796993308,Tesla Model 3 Standard Range Pl,N/A,2021,N/A,rwd,gas,silver,clean,automatic,sedan,34.01283,-118.15912,"$20,999 "
7796993264,Mercedes Benz ML 320,N/A,1998,N/A,N/A,gas,silver,clean,automatic,N/A,47.685362,-122.314942,"$3,295 "
7796993023,chevrolet avalanche 1500 lt 4x4,excellent,2005,8,4wd,gas,red,clean,automatic,pickup,45.4762,-122.5596,"$9,995 "
7796993007,Volvo S60,excellent,2012,5,fwd,gas,black,clean,automatic,sedan,32.7607,-117.0721,"$4,950 "
7796993001,subaru legacy,N/A,1998,N/A,N/A,gas,N/A,clean,manual,sedan,47.693795,-122.306757,"$1,875 "
7796992904,Volvo XC90,excellent,2010,6,4wd,gas,white,clean,automatic,SUV,32.7607,-117.0721,"$4,950 "
7796992863,jeep wrangler,excellent,2015,6,4wd,gas,green,salvage,automatic,SUV,32.7635,-117.2028,"$23,900 "
7796992847,volvo 850,N/A,1996,N/A,N/A,gas,green,clean,automatic,N/A,47.693795,-122.306757,"$1,875 "
7796992828,Toyota,N/A,2007,N/A,N/A,gas,N/A,clean,automatic,sedan,30.3649,-97.6827,"$3,900 "
7796992824,subaru crosstrek 2.0i premium,excellent,2017,4,4wd,gas,blue,clean,automatic,wagon,36.408334,-105.571318,"$15,500 "
7796992727,ford explorer,good,2010,N/A,4wd,gas,white,clean,automatic,SUV,38.4822,-122.7473,"$4,500 "
7796992720,honda civic lx,like new,2002,4,fwd,gas,custom,salvage,automatic,sedan,37.296,-121.8939,"$6,200 "
7796992721,Toyota RAV4 LE,good,2017,4,fwd,gas,black,clean,automatic,other,35.26704,-120.670115,"$15,900 "
7796992688,ford escape,N/A,2007,6,4wd,gas,blue,clean,automatic,SUV,42.2933,-121.8169,"$4,800 "
7796992685,Toyota RAV4 Hybrid LE Hybrid SUV,N/A,2023,4,4wd,hybrid,N/A,clean,automatic,SUV,47.305,-122.2067,$0 
7796992660,chevy cruze ls,good,2013,4,fwd,gas,blue,clean,automatic,sedan,38.487165,-107.75847,"$6,100 "
7796992657,Chrysler 300C,excellent,2006,8,4wd,gas,black,clean,automatic,sedan,47.7248,-116.789,"$16,000 "
7796992654,Nissan Pathfinder SL Gas SUV,N/A,2024,6,4wd,gas,N/A,clean,automatic,SUV,47.2099,-122.228,$0 
7796992609,Chevrolet Suburban Z71 Gas SUV,N/A,2023,8,4wd,gas,N/A,clean,automatic,SUV,47.2099,-122.228,$0 
7796992579,Ram 2500 Diesels Laramie Diesel,N/A,2018,6,4wd,diesel,N/A,clean,automatic,pickup,47.2099,-122.228,$0 
7796992528,Ford Expedition Max Limited,N/A,2022,6,4wd,gas,black,clean,automatic,SUV,45.38845,-122.610757,"$44,990 "
7796992434,chrysler pacifica,excellent,2017,N/A,N/A,gas,N/A,clean,automatic,minivan,33.3502,-105.6687,"$1,500 "
7796992428,Lexus ES 350,N/A,2017,6,fwd,gas,white,clean,automatic,sedan,34.06219,-118.0587,$0 
7796992386,jeep cherokee,good,1994,8,rwd,gas,green,clean,automatic,SUV,34.004647,-117.050359,"$1,000 "
7796992286,FORD F-350,N/A,2020,N/A,4wd,diesel,white,clean,automatic,pickup,29.656438,-95.555243,"$46,990 "
7796992254,CHRYSLER 300,N/A,2019,N/A,rwd,gas,white,clean,automatic,sedan,39.81138,-89.60592,"$16,988 "
7796992248,FORD RANGER,N/A,2004,N/A,fwd,gas,grey,clean,automatic,pickup,47.08789,-122.434151,"$6,999 "
7796992240,ford f150,N/A,2008,N/A,N/A,gas,N/A,clean,automatic,pickup,39.6463,-105.0092,"$5,000 "
7796992241,PORSCHE CAYENNE,N/A,2020,N/A,N/A,gas,black,clean,automatic,SUV,29.656438,-95.555243,"$47,990 "
7796992232,FORD F-150,N/A,2014,N/A,fwd,gas,white,clean,automatic,pickup,32.907485,-96.891156,"$14,395 "
7796992225,NISSAN ROGUE,N/A,2017,N/A,fwd,gas,N/A,clean,automatic,SUV,39.81138,-89.60592,"$14,788 "
7796992212,toyota prius,fair,2007,4,N/A,gas,N/A,rebuilt,automatic,hatchback,33.9208,-117.6096,"$3,600 "
7796992209,GMC SIERRA,N/A,2020,N/A,fwd,gas,black,clean,automatic,pickup,32.945995,-96.829046,"$33,821 "
7796992214,FORD FUSION,N/A,2018,N/A,fwd,gas,white,clean,automatic,sedan,47.08789,-122.434151,$0 
7796992192,BUICK LACROSSE,N/A,2006,N/A,N/A,gas,brown,clean,automatic,sedan,39.81138,-89.60592,"$4,488 "
7796992179,nissan altima sl,N/A,2018,N/A,N/A,gas,N/A,clean,automatic,sedan,41.8515,-87.6694,"$8,500 "
7796992168,Mercedes-Benz C-Class C 250 Spo,N/A,2013,N/A,rwd,gas,white,clean,automatic,sedan,38.68494,-121.47714,"$5,800 "
7796992146,subaru baja,good,2003,4,4wd,gas,yellow,clean,manual,other,47.7091,-116.9797,"$7,500 "
7796992121,GMC Sierra 1500 Elevation,excellent,2021,8,4wd,gas,blue,clean,automatic,pickup,33.57027,-112.069731,"$37,999 "
7796992117,FORD F-150,N/A,2018,N/A,4wd,gas,black,clean,automatic,pickup,29.656438,-95.555243,"$34,990 "
7796992086,Toyota Highlander,excellent,2003,6,fwd,gas,blue,clean,automatic,SUV,34.3775,-118.6131,"$9,900 "
7796992059,suzuki grand vitara,good,2001,4,4wd,gas,green,clean,automatic,SUV,34.894205,-111.874246,"$4,000 "
7796991924,ford f150 supercrew platinum,excellent,2020,6,4wd,gas,grey,clean,automatic,truck,44.0576,-121.315,"$46,500 "
7796991865,mazda3,like new,2010,4,fwd,gas,black,clean,automatic,sedan,32.9842,-97.4023,"$4,000 "
7796991819,mini cooper,excellent,2017,N/A,N/A,gas,N/A,salvage,automatic,N/A,34.642466,-118.2201,"$11,999 "
7796991802,Honda Accord,fair,1979,4,fwd,gas,grey,clean,manual,hatchback,37.1353,-121.6501,"$2,495 "
7796991797,Jeep Liberty,good,2007,6,4wd,gas,green,clean,manual,SUV,44.069272,-123.071938,"$3,500 "
7796991786,jeep wrangler,N/A,2008,N/A,N/A,gas,N/A,clean,automatic,SUV,33.6013,-111.8867,"$12,500 "
7796991779,Kia Telluride SX,N/A,2022,6,4wd,gas,N/A,clean,automatic,SUV,45.519743,-122.433069,$0 
7796991761,Ford Fusion Titanium,excellent,2015,4,fwd,gas,N/A,clean,automatic,sedan,32.7607,-117.0721,"$7,950 "
7796991758,dodge ram 1500,like new,2024,N/A,N/A,gas,N/A,salvage,automatic,pickup,32.7777,-116.9191,"$33,900 "
7796991757,volvo s60,N/A,2012,N/A,N/A,gas,N/A,clean,automatic,SUV,33.5153,-112.1212,"$3,450 "
7796991716,nissan sentra 2.0 sr,N/A,2012,4,fwd,gas,N/A,salvage,automatic,N/A,44.023138,-103.071559,"$4,900 "
7796991681,nissan rogue,good,2018,4,4wd,gas,silver,clean,automatic,SUV,44.7609,-93.2753,"$17,492 "
7796991572,toyota 4runner sr5,N/A,2005,N/A,N/A,gas,N/A,clean,automatic,SUV,33.731763,-117.282486,"$9,000 "
7796991526,pontiac grand prix,N/A,2006,6,fwd,gas,N/A,salvage,automatic,N/A,44.023138,-103.071559,"$3,800 "
7796991517,jeep renegade latitude,like new,2015,4,4wd,gas,N/A,clean,automatic,SUV,41.4236,-87.3556,"$11,950 "
7796991518,CHEVROLET CAPRICE,N/A,1995,N/A,N/A,gas,silver,clean,automatic,sedan,33.192123,-117.229065,$0 
7796991441,mazda 6,N/A,2016,4,fwd,gas,red,salvage,automatic,N/A,33.6279,-117.2668,"$7,300 "
7796991399,BMW M2 CS,like new,2020,6,rwd,gas,white,clean,manual,coupe,39.998,-105.0963,"$86,250 "
7796991402,vw gti 4dr htbk,excellent,2008,4,fwd,gas,red,clean,automatic,hatchback,45.4762,-122.5596,"$8,995 "
7796991389,toyota highlander,N/A,2005,N/A,N/A,gas,N/A,clean,automatic,N/A,37.0089,-121.9849,"$1,000 "
7796991347,Lexus IS200t F-Sport,excellent,2017,4,rwd,gas,white,salvage,automatic,sedan,33.9531,-116.5219,"$17,000 "
7796991326,gmc sierra 1500 sle,N/A,2013,N/A,N/A,gas,N/A,clean,automatic,pickup,39.864136,-104.918575,"$5,200 "
7796991317,Buick Terraza,good,2005,6,fwd,gas,red,clean,automatic,van,45.4403,-122.7793,"$1,400 "
7796991240,dodge ram 1500,N/A,2016,N/A,N/A,gas,N/A,clean,automatic,pickup,31.7814,-106.3613,"$8,900 "
7796991204,bmw 528i,excellent,2011,6,rwd,gas,blue,clean,automatic,sedan,30.230261,-97.687683,"$6,995 "
7796991132,toyota rav4,like new,2015,4,fwd,gas,white,clean,automatic,SUV,33.8512,-118.1457,"$14,900 "
